url,title,price,agency_name,agency_contact_number,governorate,area,property_type,property_size,rate_per_sqft,rooms,bathrooms,roads,parking,built_up_area,classification
https://baity.bh/properties/land-in-samaheej-39772,Land in Samaheej,104626,Carlton Real Estate,39502200,Muharraq,Samaheej,PLOT,324,30,,,1,,,RA
https://baity.bh/properties/land-in-dar-kulaib-38183,Land in Dar Kulaib,79500,Majestic Properties,39655161,Northern,Dar Kulaib,PLOT,255,29,,,1,,,RHB
https://baity.bh/properties/land-in-al-buhair-37051,Land in Al Buhair,87753,Al Mahd Real Estate,39919966,Southern,Al Buhair,PLOT,326.1,25,,,3,,,RA
https://baity.bh/properties/land-in-hamad-town-23814,Land in Hamad Town,112000,Alhoor Real Estate,17640060,Northern,Hamad Town,PLOT,321.3,32.4,,,2,,,MOH
https://baity.bh/properties/villa-in-bani-jamra-42091,Villa in Bani Jamra,124000,Domains Real Estate,39333709,Northern,Bani Jamra,VILLA,163.8,70.3,3,4,1,2,246,RA
https://baity.bh/properties/land-in-askar-38563,Land in Askar,74000,Grnata Real Estate,97336005571,Southern,Askar,PLOT,300,22.9,,,1,,,RA
https://baity.bh/properties/land-in-al-malikiyah-38595,Land in Al Malikiyah,179325,Istanbul Real Estate WLL,66000009,Northern,Al Malikiyah,PLOT,833,20,,,1,,,RB
https://baity.bh/properties/villa-in-daih-41455,Villa in Daih,131000,Domains Real Estate,39333709,Capital,Daih,VILLA,150,83.6,4,6,1,1,285,RA
https://baity.bh/properties/land-in-tubli-30271,Land in Tubli,112000,Effects Real Estate,39975454,Capital,Tubli,PLOT,348.7,29.8,,,1,,,RA
https://baity.bh/properties/villa-in-al-hidd-42684,Villa in Al Hidd,350000,Janabiya Gate Real Estate,38302990,Muharraq,Al Hidd,VILLA,395,82.3,5,8,2,2,623,RA
https://baity.bh/properties/land-in-saar-34875,Land in Saar,167634,Grnata Real Estate,97336005571,Northern,Saar,PLOT,556.2,28,,,1,,,RA
https://baity.bh/properties/villa-in-maqabah-37573,Villa in Maqabah,106000,Lakum Real Estate,33663365,Northern,Maqabah,VILLA,168,58.6,4,5,1,2,246,RA
https://baity.bh/properties/land-in-malkiya-23609,Land in Malkiya,100000,Effects Real Estate,39975454,Northern,Al Malikiyah,PLOT,380,24.4,,,1,,,RA
https://baity.bh/properties/land-in-hamala-13555,Land in Hamala,60000,Grnata Real Estate,97336005571,Northern,Hamala,PLOT,192.8,28.9,,,1,,,RHA
https://baity.bh/properties/land-in-sitra-30768,Land in Sitra,203515,Diyarna Properties,37049499,Capital,Sitra,PLOT,945.7,20,,,1,,,RB
https://baity.bh/properties/land-in-hamala-32868,Land in Hamala,74300,Grnata Real Estate,97336005571,Northern,Hamala,PLOT,242.2,28.5,,,1,,,RHA
https://baity.bh/properties/apartment-in-al-hidd-31370,Apartment in Al Hidd,52000,Grnata Real Estate,97336005571,Muharraq,Al Hidd,APARTMENT,100.5,48.1,2,2,,1,,
https://baity.bh/properties/villa-in-bani-jamra-30347,Villa in Bani Jamra,180000,Janabiya Gate Real Estate,38302990,Northern,Bani Jamra,VILLA,340,49.2,4,5,1,4,300,RA
https://baity.bh/properties/land-in-muharraq-42184,Land in Muharraq,35000,Square Meter Real Estate W.L.L,17007999,Muharraq,Muharraq,PLOT,87.7,37.1,,,2,,,RHB
https://baity.bh/properties/land-in-bu-quwah-33432,Land in Bu Quwah,114000,Domains Real Estate,39333709,Northern,Bu Quwah,PLOT,320.4,33.1,,,1,,,RA
https://baity.bh/properties/land-in-al-malikiyah-21446,Land in Al Malikiyah,147151.99,House Me,38777992,Northern,Al Malikiyah,PLOT,525.8,26,,,1,,,RA
https://baity.bh/properties/land-in-muharraq-32838,Land in Muharraq,80000,Grnata Real Estate,97336005571,Muharraq,Muharraq,PLOT,220,33.8,,,1,,,RHA
https://baity.bh/properties/land-in-riffa-40699,Land in Riffa,81373,Nasser Al-Ahli,17777743,Southern,Riffa,PLOT,303,24.9,,,1,,,RB
https://baity.bh/properties/land-in-al-dair-41943,Land in Al Dair,99168,Janabiya Gate Real Estate,38302990,Muharraq,Al Dair,PLOT,307.1,30,,,2,,,RA
https://baity.bh/properties/apartment-in-amwaj-37475,Apartment in Amwaj,55000,Grnata Real Estate,97336005571,Muharraq,Amwaj,APARTMENT,99.1,51.6,2,2,,1,,
https://baity.bh/properties/land-in-hamala-37036,Land in Hamala,70578,Al Mahd Real Estate,39919966,Northern,Hamala,PLOT,226.1,29,,,1,,,RHA
https://baity.bh/properties/apartment-in-manama-15030,Apartment in Manama,35000,Grnata Real Estate,97336005571,Capital,Manama,APARTMENT,51.1,63.6,1,2,,1,,
https://baity.bh/properties/land-in-jid-al-haj-38645,Land in Jid Al Haj,200823.9,Best Location,38868838,Northern,Jid Al Haj,PLOT,621.9,30,,,1,,,RA
https://baity.bh/properties/apartment-in-al-hidd-17524,Apartment in Al Hidd,65000,Delmon Gate,17598666,Muharraq,Al Hidd,APARTMENT,118.5,50.959049307976,3,4,4,2,119,RHA
https://baity.bh/properties/apartment-in-amwaj-18708,Apartment in Amwaj,62000,Delmon Gate,17598666,Muharraq,Amwaj,APARTMENT,105,54.9,2,3,,1,,
https://baity.bh/properties/apartment-in-amwaj-41287,Apartment in Amwaj,61900,Best Location,38868838,Muharraq,Amwaj,APARTMENT,174,33,2,2,,1,,
https://baity.bh/properties/villa-in-al-malikiyah-41259,Villa in Al Malikiyah,116000,Al Mahd Real Estate,39919966,Northern,Al Malikiyah,VILLA,176,61.2,4,5,1,2,270,RA
https://baity.bh/properties/land-in-bani-jamra-20353,Land in Bani Jamra,62000,Best Location,38868838,Northern,Bani Jamra,PLOT,155.7,37,,,1,,,RHA
